iter	Logloss	Logloss
91	0.1530917557	0.1530917557
92	0.151572384	0.151572384
93	0.1500148782	0.1500148782
94	0.148398935	0.148398935
95	0.1468726945	0.1468726945
96	0.1458604489	0.1458604489
97	0.1444944365	0.1444944365
98	0.1436682456	0.1436682456
99	0.1425550725	0.1425550725
100	0.1413546418	0.1413546418
101	0.1402581191	0.1402581191
102	0.1391556686	0.1391556686
103	0.1379724195	0.1379724195
104	0.1369503623	0.1369503623
105	0.1358336925	0.1358336925
106	0.1347244602	0.1347244602
107	0.1337391132	0.1337391132
108	0.1328745033	0.1328745033
109	0.1315947586	0.1315947586
110	0.130633082	0.130633082
111	0.1296889765	0.1296889765
112	0.1288477099	0.1288477099
113	0.1280002493	0.1280002493
114	0.1272133361	0.1272133361
115	0.1263516222	0.1263516222
116	0.1254541013	0.1254541013
117	0.1244221042	0.1244221042
118	0.1237077906	0.1237077906
119	0.1229225615	0.1229225615
120	0.1221184408	0.1221184408
121	0.1215618014	0.1215618014
122	0.120815191	0.120815191
123	0.1201870419	0.1201870419
124	0.1192420064	0.1192420064
125	0.1186682039	0.1186682039
126	0.1178563893	0.1178563893
127	0.1171774046	0.1171774046
128	0.1165764651	0.1165764651
129	0.1158323307	0.1158323307
130	0.1152736722	0.1152736722
131	0.1145847066	0.1145847066
132	0.113870763	0.113870763
133	0.1133205752	0.1133205752
134	0.112881139	0.112881139
135	0.1123510713	0.1123510713
136	0.1120992257	0.1120992257
137	0.1112525099	0.1112525099
138	0.1106867265	0.1106867265
139	0.1101713766	0.1101713766
140	0.1095305451	0.1095305451
141	0.1090503869	0.1090503869
142	0.1083751071	0.1083751071
143	0.1076835169	0.1076835169
144	0.1069956808	0.1069956808
145	0.1064351434	0.1064351434
146	0.1057812953	0.1057812953
147	0.1052736595	0.1052736595
148	0.1045745946	0.1045745946
149	0.1042271995	0.1042271995
150	0.1036900812	0.1036900812
151	0.1034297634	0.1034297634
152	0.1029922058	0.1029922058
153	0.1024492915	0.1024492915
154	0.1020042777	0.1020042777
155	0.1014099868	0.1014099868
156	0.1009517351	0.1009517351
157	0.100512179	0.100512179
158	0.1001799582	0.1001799582
159	0.09987039817	0.09987039817
160	0.09934630851	0.09934630851
161	0.09873263474	0.09873263474
162	0.09823588794	0.09823588794
163	0.09778777424	0.09778777424
164	0.09747597156	0.09747597156
165	0.09700522699	0.09700522699
166	0.09668325631	0.09668325631
167	0.0964054475	0.0964054475
168	0.09591570295	0.09591570295
169	0.09552837895	0.09552837895
170	0.09520862034	0.09520862034
171	0.09487229271	0.09487229271
172	0.09454057732	0.09454057732
173	0.09418689133	0.09418689133
174	0.09378818613	0.09378818613
175	0.09333429754	0.09333429754
176	0.09300696502	0.09300696502
177	0.09248388309	0.09248388309
178	0.092134255	0.092134255
179	0.09181132819	0.09181132819
180	0.09140154948	0.09140154948
181	0.09100425818	0.09100425818
182	0.09052310365	0.09052310365
183	0.09023258337	0.09023258337
184	0.08961875697	0.08961875697
185	0.08924499288	0.08924499288
186	0.08885872246	0.08885872246
187	0.08850553577	0.08850553577
188	0.08812337244	0.08812337244
189	0.08771041012	0.08771041012
190	0.08737498745	0.08737498745
191	0.08702234215	0.08702234215
192	0.08680639027	0.08680639027
193	0.08645960218	0.08645960218
194	0.08616658865	0.08616658865
195	0.08602062046	0.08602062046
196	0.08572473902	0.08572473902
197	0.0854909552	0.0854909552
198	0.08510874192	0.08510874192
199	0.08463614821	0.08463614821
200	0.08431058171	0.08431058171
201	0.08398044803	0.08398044803
202	0.08362952507	0.08362952507
203	0.08339891621	0.08339891621
204	0.08312736242	0.08312736242
205	0.08289536259	0.08289536259
206	0.08247015903	0.08247015903
207	0.08222630173	0.08222630173
208	0.08192800196	0.08192800196
209	0.08167198674	0.08167198674
210	0.0814082976	0.0814082976
211	0.08112310713	0.08112310713
212	0.08068545744	0.08068545744
213	0.08029095007	0.08029095007
214	0.08001031172	0.08001031172
215	0.07974435951	0.07974435951
216	0.07957709744	0.07957709744
217	0.07935241516	0.07935241516
218	0.07893103596	0.07893103596
219	0.07871336278	0.07871336278
220	0.07843401689	0.07843401689
221	0.07818264384	0.07818264384
222	0.07787283817	0.07787283817
223	0.07764466834	0.07764466834
224	0.07743975268	0.07743975268
225	0.07719034418	0.07719034418
226	0.07695881817	0.07695881817
227	0.07670335196	0.07670335196
228	0.07654994032	0.07654994032
229	0.0763504552	0.0763504552
230	0.07606941326	0.07606941326
231	0.07581671836	0.07581671836
232	0.075652705	0.075652705
233	0.07545379603	0.07545379603
234	0.0752229783	0.0752229783
235	0.07507537276	0.07507537276
236	0.07484392694	0.07484392694
237	0.0744743581	0.0744743581
238	0.0742961245	0.0742961245
239	0.07410249869	0.07410249869
240	0.07395718181	0.07395718181
241	0.07366855243	0.07366855243
242	0.07341497306	0.07341497306
243	0.07324377734	0.07324377734
244	0.07312485138	0.07312485138
245	0.07291432301	0.07291432301
246	0.07261653287	0.07261653287
247	0.07227190547	0.07227190547
248	0.0721531133	0.0721531133
249	0.07208276451	0.07208276451
250	0.07194289123	0.07194289123
251	0.07179942662	0.07179942662
252	0.07165595683	0.07165595683
253	0.07143973852	0.07143973852
254	0.0712349648	0.0712349648
255	0.07091219669	0.07091219669
256	0.07064270934	0.07064270934
257	0.07042921017	0.07042921017
258	0.07009848192	0.07009848192
259	0.06994658414	0.06994658414
260	0.0697899129	0.0697899129
261	0.06964979197	0.06964979197
262	0.06947666455	0.06947666455
263	0.06931484029	0.06931484029
264	0.0691685759	0.0691685759
265	0.06901647637	0.06901647637
266	0.06881780658	0.06881780658
267	0.06867618686	0.06867618686
268	0.06842960971	0.06842960971
269	0.06829241276	0.06829241276
270	0.06810896719	0.06810896719
271	0.06785337642	0.06785337642
272	0.06769308725	0.06769308725
273	0.06757799034	0.06757799034
274	0.06738517335	0.06738517335
275	0.06710708992	0.06710708992
276	0.06688693595	0.06688693595
277	0.06670777125	0.06670777125
278	0.06651884006	0.06651884006
279	0.0663207369	0.0663207369
280	0.06616389265	0.06616389265
281	0.06586832486	0.06586832486
282	0.06560124459	0.06560124459
283	0.0653938554	0.0653938554
284	0.06524027297	0.06524027297
285	0.0650365433	0.0650365433
286	0.06487030963	0.06487030963
287	0.06463726109	0.06463726109
288	0.06452142076	0.06452142076
289	0.06433976657	0.06433976657
290	0.06419540953	0.06419540953
291	0.06411982407	0.06411982407
292	0.0640326604	0.0640326604
293	0.06385327453	0.06385327453
294	0.06371328015	0.06371328015
295	0.06357890945	0.06357890945
296	0.06341000281	0.06341000281
297	0.06320976726	0.06320976726
298	0.06310880177	0.06310880177
299	0.06295248155	0.06295248155
300	0.06282015863	0.06282015863
301	0.06261548112	0.06261548112
302	0.06244734891	0.06244734891
303	0.06225507047	0.06225507047
304	0.06208545802	0.06208545802
305	0.0619637985	0.0619637985
306	0.06178860407	0.06178860407
307	0.06164589195	0.06164589195
308	0.06160971085	0.06160971085
309	0.06152325237	0.06152325237
310	0.06136733584	0.06136733584
311	0.06125426558	0.06125426558
312	0.06104962705	0.06104962705
313	0.06089112922	0.06089112922
314	0.06070503495	0.06070503495
315	0.06046671727	0.06046671727
316	0.06037301205	0.06037301205
317	0.06016518179	0.06016518179
318	0.06000471962	0.06000471962
319	0.05987158459	0.05987158459
320	0.0597256762	0.0597256762
321	0.05958570872	0.05958570872
322	0.05941714052	0.05941714052
323	0.05934597834	0.05934597834
324	0.05917806163	0.05917806163
325	0.05903133374	0.05903133374
326	0.05885906751	0.05885906751
327	0.05866888855	0.05866888855
328	0.05858789741	0.05858789741
329	0.0584271518	0.0584271518
330	0.0583097392	0.0583097392
331	0.05817589693	0.05817589693
332	0.05811432421	0.05811432421
333	0.05788304956	0.05788304956
334	0.05773925371	0.05773925371
335	0.05760959814	0.05760959814
336	0.05745822157	0.05745822157
337	0.05726762004	0.05726762004
338	0.05717462204	0.05717462204
339	0.05710316267	0.05710316267
340	0.05696278352	0.05696278352
341	0.05683791014	0.05683791014
342	0.05670786414	0.05670786414
343	0.05659345471	0.05659345471
344	0.05648466835	0.05648466835
345	0.05636918506	0.05636918506
346	0.05617390486	0.05617390486
347	0.056079316	0.056079316
348	0.05599629472	0.05599629472
349	0.05587647313	0.05587647313
350	0.05575237365	0.05575237365
351	0.05555159359	0.05555159359
352	0.05539716817	0.05539716817
353	0.05524323505	0.05524323505
354	0.05506560802	0.05506560802
355	0.05492659788	0.05492659788
356	0.05478274228	0.05478274228
357	0.05467004537	0.05467004537
358	0.0545509576	0.0545509576
359	0.05450556701	0.05450556701
360	0.05439738057	0.05439738057
361	0.05421413826	0.05421413826
362	0.05410934228	0.05410934228
363	0.05401477277	0.05401477277
364	0.05385661276	0.05385661276
365	0.05378597359	0.05378597359
366	0.05360080363	0.05360080363
367	0.05343454877	0.05343454877
368	0.05335001574	0.05335001574
369	0.05330451646	0.05330451646
370	0.05313812429	0.05313812429
371	0.05298919256	0.05298919256
372	0.05289555584	0.05289555584
373	0.05275981531	0.05275981531
374	0.05262009213	0.05262009213
375	0.05254872572	0.05254872572
376	0.05234747825	0.05234747825
377	0.05221070657	0.05221070657
378	0.0521102453	0.0521102453
379	0.05195371305	0.05195371305
380	0.05183222093	0.05183222093
381	0.05174214078	0.05174214078
382	0.05163811551	0.05163811551
383	0.05156902226	0.05156902226
384	0.05146136616	0.05146136616
